,Unnamed: 0,doc_index,original_text,extraction_text,mechanism_type,scope,responsible_entity,actions_taken,contact_info,policy_reference,status_or_effectiveness
10,10,8,"RVNL is committed to upholding human rights and ensuring that all individuals are treated with dignity and respect. We recognize the importance of addressing human rights complaints effectively. To achieve this, we have implemented a comprehensive framework that provides various channels for stakeholders to report their concerns. The CPGRAMS (Centralized Public Grievance Redress and Monitoring System) offers a convenient platform for lodging complaints, ensuring transparency and timely resolution. In addition, our Sampark Portal serves as a user-friendly interface that facilitates direct communication and engagement, allowing stakeholders to share their feedback and grievances directly with us. For those who prefer traditional channels, we welcome direct letters and value written correspondence as a means for meaningful dialogue.",CPGRAMS (Centralized Public Grievance Redress and Monitoring System),Other,stakeholders,RVNL,"Offers a convenient platform for lodging complaints, ensuring transparency and timely resolution",CPGRAMS,comprehensive framework,Active
11,11,8,"RVNL is committed to upholding human rights and ensuring that all individuals are treated with dignity and respect. We recognize the importance of addressing human rights complaints effectively. To achieve this, we have implemented a comprehensive framework that provides various channels for stakeholders to report their concerns. The CPGRAMS (Centralized Public Grievance Redress and Monitoring System) offers a convenient platform for lodging complaints, ensuring transparency and timely resolution. In addition, our Sampark Portal serves as a user-friendly interface that facilitates direct communication and engagement, allowing stakeholders to share their feedback and grievances directly with us. For those who prefer traditional channels, we welcome direct letters and value written correspondence as a means for meaningful dialogue.",Sampark Portal,Other,stakeholders,RVNL,"Serves as a user-friendly interface that facilitates direct communication and engagement, allowing stakeholders to share their feedback and grievances directly",Sampark Portal,comprehensive framework,Active
12,12,8,"RVNL is committed to upholding human rights and ensuring that all individuals are treated with dignity and respect. We recognize the importance of addressing human rights complaints effectively. To achieve this, we have implemented a comprehensive framework that provides various channels for stakeholders to report their concerns. The CPGRAMS (Centralized Public Grievance Redress and Monitoring System) offers a convenient platform for lodging complaints, ensuring transparency and timely resolution. In addition, our Sampark Portal serves as a user-friendly interface that facilitates direct communication and engagement, allowing stakeholders to share their feedback and grievances directly with us. For those who prefer traditional channels, we welcome direct letters and value written correspondence as a means for meaningful dialogue.",Direct letters and written correspondence,Other,stakeholders,RVNL,Welcomes direct letters and values written correspondence as a means for meaningful dialogue,Direct letters,comprehensive framework,Active
13,13,10,All the grievances related to human rights can be lodged at https://www.rites.com/GrievanceComplaints,Grievance lodging mechanism for human rights,Other,all stakeholders,RITES,Allows lodging of human rights grievances,https://www.rites.com/GrievanceComplaints,,Active
14,14,11,"The Company does not have a single focal point for addressing the human rights issues. However, the HR
head of the respective IC is responsible for addressing the same. All grievances are addressed as and when
received by the respective heads through Admin/HR.. All the grievances received are duly investigated and
appropriate actions are taken to resolve the issue/complaint. Whenever required, disciplinary actions are
initiated as deemed fit and assistance from regulatory authority is sought. A grievance redressal policy is in
place for the same and all the issues reported are resolved within 30 working days.","Grievance redressal mechanism under a policy, handled by HR heads of respective ICs",Policy,all stakeholders,"HR head of the respective IC, respective heads through Admin/HR","Addresses human rights issues, investigates grievances, takes appropriate actions to resolve issues/complaints, initiates disciplinary actions, seeks assistance from regulatory authority",,Grievance redressal policy,Issues resolved within 30 working days
15,15,12,"The Company as a policy, does not employ children or forced labour in any form. Company has constituted an Internal Compliance Committee under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013. All complaints related to sexual harassment are addressed by the internal Committee in strict compliance to the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013.The three member Ethics Committee formulated by the Board under the Whistle Blower Policy / Vigil Mechanism of the Company immediately responds all the concerns raised by the employees. The employees can also resort to the HRCare Portal to raise their grievances","Internal Compliance Committee under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Committee,employees,Internal Committee,Addresses all complaints related to sexual harassment in strict compliance to the Act,,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Active
16,16,12,"The Company as a policy, does not employ children or forced labour in any form. Company has constituted an Internal Compliance Committee under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013. All complaints related to sexual harassment are addressed by the internal Committee in strict compliance to the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013.The three member Ethics Committee formulated by the Board under the Whistle Blower Policy / Vigil Mechanism of the Company immediately responds all the concerns raised by the employees. The employees can also resort to the HRCare Portal to raise their grievances",Three member Ethics Committee under the Whistle Blower Policy / Vigil Mechanism,Whistleblower,employees,Ethics Committee,Immediately responds to all concerns raised by the employees,,Whistle Blower Policy / Vigil Mechanism,Active
17,17,12,"The Company as a policy, does not employ children or forced labour in any form. Company has constituted an Internal Compliance Committee under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013. All complaints related to sexual harassment are addressed by the internal Committee in strict compliance to the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013.The three member Ethics Committee formulated by the Board under the Whistle Blower Policy / Vigil Mechanism of the Company immediately responds all the concerns raised by the employees. The employees can also resort to the HRCare Portal to raise their grievances",HRCare Portal for grievances,Other,employees,,Allows employees to raise their grievances,HRCare Portal,,Active
18,18,13,The Company has implemented a robust process to address employee concerns proactively. This process includes investigating issues through a dedicated Grievance Redressal mechanism. Employees also have the option to communicate their concerns by submitting a grievance letter to their respective HR departments. A dedicated High-Level Committee is responsible for carefully addressing and resolving the matter with utmost care and attention. These mechanisms form the bedrock of fostering a diverse and inclusive workplace culture.,Robust process and dedicated Grievance Redressal mechanism to address employee concerns,Committee,employees,"HR departments, High-Level Committee","Addresses employee concerns proactively, investigates issues, carefully addresses and resolves matters",Grievance letter to respective HR departments,,"Active, Effective"
19,19,14,Any grievances related to human rights issues may be reported to the HR/IR team directly in person or through email or a written grievance.,Grievances related to human rights issues reported to the HR/IR team,Open-Door,employees,HR/IR team,Receives and addresses grievances related to human rights issues,"Directly in person, email, or written grievance",,Active
20,20,15,"HFCL has established several key policies, including the Code of Conduct, Whistle Blower Policy, Grievance Redressal Policy, and POSH (Prevention of Sexual Harassment) Policy, to ensure the effective implementation of processes in line with human rights and labour regulations. All employee and worker grievances are directed to the Vigilance Officer appointed by the Company. The Vigilance Officer thoroughly investigates each case and submits a detailed report to the Audit Committee, which carefully reviews the findings and makes final decisions. This process is conducted with strict confidentiality and transparency to maintain the integrity of the investigation.",Grievance redressal mechanism involving Vigilance Officer and Audit Committee,Whistleblower,"employees, workers","Vigilance Officer, Audit Committee","Vigilance Officer thoroughly investigates each case and submits a detailed report to the Audit Committee, which carefully reviews the findings and makes final decisions; conducted with strict confidentiality and transparency",,"Code of Conduct, Whistle Blower Policy, Grievance Redressal Policy, POSH (Prevention of Sexual Harassment) Policy",Effective
21,21,16,All grievances are addressed as and when received by the respective project manager/functional head through IR/Admin in co-ordination with HR. All grievances are duly investigated and appropriate actions are taken to resolve them.,"Grievance redressal mechanism involving project manager/functional head, IR/Admin, and HR",Other,employees,"Project Manager, Functional Head, IR/Admin, HR",Grievances are duly investigated and appropriate actions are taken to resolve them,Respective project manager/functional head,Not specified,Active
22,22,17,"The Company has framed a mechanism that allows for reporting and remediation of all human rights related issues through its Human Right Policy. This allows all associates, full time consultants, part time consultants, temporary associates, interns, apprentices and other concerned persons / parties of entire supply chain of the company and contractual labourers deployed at our project sites and other material third-party contractors to report any human right-related concerns. Through this mechanism, the Company provides the necessary safeguards to all complainants for making disclosures in good faith. All violations are dealt with utmost seriousness and confidentiality. Substantiated violations lead to disciplinary actions depending upon severity of the violation and may include warning, penalties, legal action and even termination of employees and other concerned parties.",Mechanism for reporting and remediation of all human rights related issues through its Human Right Policy,Policy,"associates, full time consultants, part time consultants, temporary associates, interns, apprentices, supply chain, contractual labourers, material third-party contractors",The Company,"Allows reporting and remediation of human rights issues, provides safeguards for complainants, deals with violations with seriousness and confidentiality, leads to disciplinary actions (warning, penalties, legal action, termination) for substantiated violations",,Human Right Policy,Active
23,23,18,"The Head of HR department oversees the human resource’s function. In addition, the Executive Directors are responsible for addressing any human rights issues caused or contributed by the business",Executive Directors responsible for addressing any human rights issues caused or contributed by the business,Other,all stakeholders,Executive Directors,Addressing any human rights issues caused or contributed by the business,,,Active
24,24,19,"At Dilip Buildcon, we uphold the belief that every stakeholder should feel empowered to voice grievances and report any breaches or violations with confidence and trust. Stakeholders are encouraged to report any policy or procedural breaches within the Company. Grievances related to general human rights issues should be directed to the Head of Human Resources, immediate supervisors, or the Head of the Department, with provisions for escalation as needed. Incidents of sexual harassment should be reported directly to the Prevention of Sexual Harassment Committee (Internal Complaints Committee), the Head of Human Resources, and the Board. If a satisfactory resolution is not achieved, higher authorities can be approached for further action.",Mechanism for reporting policy or procedural breaches and general human rights issues,Open-Door,stakeholders,"Head of Human Resources, immediate supervisors, Head of the Department, higher authorities","Empowers stakeholders to voice grievances, report breaches or violations, with provisions for escalation","Head of Human Resources, immediate supervisors, Head of the Department",Company policies and procedures,Active
25,25,19,"At Dilip Buildcon, we uphold the belief that every stakeholder should feel empowered to voice grievances and report any breaches or violations with confidence and trust. Stakeholders are encouraged to report any policy or procedural breaches within the Company. Grievances related to general human rights issues should be directed to the Head of Human Resources, immediate supervisors, or the Head of the Department, with provisions for escalation as needed. Incidents of sexual harassment should be reported directly to the Prevention of Sexual Harassment Committee (Internal Complaints Committee), the Head of Human Resources, and the Board. If a satisfactory resolution is not achieved, higher authorities can be approached for further action.",Mechanism for reporting incidents of sexual harassment,Committee,stakeholders,"Prevention of Sexual Harassment Committee (Internal Complaints Committee), Head of Human Resources, Board",Handles reports of sexual harassment,"Prevention of Sexual Harassment Committee (Internal Complaints Committee), Head of Human Resources, Board",Prevention of Sexual Harassment Policy,Active
26,26,20,"In our organization, we prioritize upholding human rights values and ensuring their protection. If any individual encounters a human rights-related issue, they can directly contact the Head of Department, respective site/project manager, or designated personnel. We are committed to promptly addressing such concerns and taking necessary actions to safeguard human rights within our organization and its operations.","Mechanism for individuals to directly contact Head of Department, respective site/project manager, or designated personnel for human rights-related issues",Open-Door,all stakeholders,"Head of Department, respective site/project manager, designated personnel",Promptly addressing concerns and taking necessary actions to safeguard human rights,"Direct contact with Head of Department, respective site/project manager, or designated personnel",Human Rights Policy,Active
27,27,21,"The Company has established a Vigil Mechanism (Ombuds & Open Reporting Procedure) wherein all employees can raise a grievance related to violation of any law including human rights or internal company policy. All grievances are properly and appropriately investigated. If, at the conclusion of its investigation, it is found that a violation has occurred, corrective action commensurate with the nature of the violation is taken.
Detailed Vigil Mechanism can be accessed at link:
https://www.gevernova.com/regions/in/sites/www.gevernova.com.regions.in/files/Vigil-Mechanism-Ombuds-Open-Reporting-Procedure.pdf",Vigil Mechanism (Ombuds & Open Reporting Procedure),Whistleblower,employees,The Company,Allows employees to raise grievances related to violation of any law including human rights or internal company policy; grievances are properly and appropriately investigated; corrective action is taken if a violation is found,https://www.gevernova.com/regions/in/sites/www.gevernova.com.regions.in/files/Vigil-Mechanism-Ombuds-Open-Reporting-Procedure.pdf,Vigil Mechanism (Ombuds & Open Reporting Procedure),"Active, Effective"
28,28,22,"At GPL, we prioritize human rights in all our operations and investment agreements. We conduct thorough human rights reviews and incorporate stringent human rights clauses into our agreements. In addition to that, human rights training is provided for contractual personnel as part of contractual processes with agencies. To facilitate reporting and address any grievances related to human rights issues, we have established multiple platforms. We have various engagement formats and site events to address any grievances, as well as a provision to connect with leaders on any grievance matter through details available on the company’s intranet.","Multiple platforms, engagement formats, site events, and provision to connect with leaders for human rights grievances",Other,all stakeholders,GPL,"Facilitates reporting, addresses grievances, provides engagement formats and site events, allows connection with leaders on grievance matters",Details available on the company’s intranet,Human Rights Policy (implied),Active
29,29,23,The POSH Committee and Whistle Blower Policy are available in this regard.,POSH Committee,Committee,employees,POSH Committee,Addresses complaints related to sexual harassment,,POSH Policy,Active
30,30,23,The POSH Committee and Whistle Blower Policy are available in this regard.,Whistle Blower Policy,Whistleblower,employees,Company,Provides a channel for reporting misconduct or violations,,Whistle Blower Policy,Active
31,31,24,The company upholds ethical practices across all aspects of its operations and supply chain. It diligently assesses risks related to human rights by reviewing feedback and complaints from stakeholders. The responsibility to manage and resolve any human rights concerns resulting from the company’s actions is vested in the Head of the Human Resources Department.,Mechanism for reviewing feedback and complaints from stakeholders and resolving human rights concerns,Other,stakeholders,Head of the Human Resources Department,"Assesses risks related to human rights by reviewing feedback and complaints, manages and resolves human rights concerns",,,Active
32,32,25,"Any employee can voice all types of issues and violations to the internal complaints committee, which takes immediate remedial measures to ensure that such violations do not occur in future.",Internal complaints committee for employees to voice issues and violations,Committee,employees,internal complaints committee,Takes immediate remedial measures to ensure violations do not occur in future,,,Active
33,33,26,"The Company has established an internal process for addressing grievances. Anyone with concerns related to human rights or other issues can email hr@shriramproperties.com, and our HR team will promptly investigate the matter.
Under our Prevention of Sexual Harassment Policy, an Internal Complaint Committee is in place to handle and resolve such complaints. Our Whistle Blower Policy allows individuals to report malpractices anonymously to the Chairman of the Audit Committee, ensuring protection against retaliation. The Company is dedicated to maintaining a safe working environment and consistently upholding human rights principles.",Internal process for addressing grievances,Other,all stakeholders,HR team,Investigates concerns related to human rights or other issues promptly,hr@shriramproperties.com,internal process,Active
34,34,26,"The Company has established an internal process for addressing grievances. Anyone with concerns related to human rights or other issues can email hr@shriramproperties.com, and our HR team will promptly investigate the matter.
Under our Prevention of Sexual Harassment Policy, an Internal Complaint Committee is in place to handle and resolve such complaints. Our Whistle Blower Policy allows individuals to report malpractices anonymously to the Chairman of the Audit Committee, ensuring protection against retaliation. The Company is dedicated to maintaining a safe working environment and consistently upholding human rights principles.",Internal Complaint Committee under Prevention of Sexual Harassment Policy,Committee,employees,Internal Complaint Committee,Handles and resolves sexual harassment complaints,,Prevention of Sexual Harassment Policy,Active
35,35,26,"The Company has established an internal process for addressing grievances. Anyone with concerns related to human rights or other issues can email hr@shriramproperties.com, and our HR team will promptly investigate the matter.
Under our Prevention of Sexual Harassment Policy, an Internal Complaint Committee is in place to handle and resolve such complaints. Our Whistle Blower Policy allows individuals to report malpractices anonymously to the Chairman of the Audit Committee, ensuring protection against retaliation. The Company is dedicated to maintaining a safe working environment and consistently upholding human rights principles.",Whistle Blower Policy,Whistleblower,individuals,Chairman of the Audit Committee,"Allows anonymous reporting of malpractices, ensures protection against retaliation",,Whistle Blower Policy,Active
36,36,27,"Stakeholders have access to a grievance mechanism that encourages them to bring up any concerns or disclosures related to actual or potential breaches of the Code of Conduct, ethics and other policies, or laws, including human rights violations. This mechanism is designed to ensure that any issues are addressed promptly and effectively. The Stakeholder grievance policy is available on our website www.lodhagroup.in/sustainability/","Grievance mechanism for concerns or disclosures related to actual or potential breaches of the Code of Conduct, ethics and other policies, or laws, including human rights violations",Policy,stakeholders,Company,"Encourages reporting of concerns, addresses issues promptly and effectively",www.lodhagroup.in/sustainability/,"Code of Conduct, Stakeholder grievance policy","Active, Effective"
37,37,28,"Yes, there are several committees within the Company that oversee human rights impacts and issues.
For example, the Company maintains a zero-tolerance policy towards sexual harassment in the workplace
and complies with the provisions for establishing Internal Complaints Committees under the Sexual
Harassment of Women at Workplace (Prevention, Prohibition, and Redressal) Act, 2013.","Internal Complaints Committees under the Sexual Harassment of Women at Workplace (Prevention, Prohibition, and Redressal) Act, 2013",Committee,employees,Internal Complaints Committees,"Oversees human rights impacts and issues, maintains a zero-tolerance policy towards sexual harassment, addresses complaints related to sexual harassment",Not specified,"Sexual Harassment of Women at Workplace (Prevention, Prohibition, and Redressal) Act, 2013",Active
38,38,29,"Paramount believes in and is committed to protecting the human rights of its employees and workers. We make regular and genuine attempts to educate our staff on their rights and reporting methods in the event of a violation. Any breach of the human rights listed below may be reported to the managers and supervisors, which has been chosen by Paramount to guarantee the organization''s values are upheld and no human rights violations occur. 
•	Protection against forced and/or child labour: We ensure that no child labour, forced labour, or any type of involuntary labour, paid or unpaid, is deployed in any of our factories or offices.
•	Providing Equal Opportunity: We are dedicated to ensuring that there is no discrimination in employment or development opportunities based on religion, caste, language, region, gender (male, female, or transgender), age, sex, sexual orientation, physical ability, and other factors. We recruit, evaluate, reward, and promote only based on merit.
•	Compliance: We are fully dedicated to compliance and will follow all applicable human rights legislation. 
•	Protection against Sexual Harassment in the Workplace: We are dedicated to fostering a healthy working environment in which employees may work without fear of prejudice, intimidation, gender bias, or sexual harassment of any kind. Any discriminatory treatment or harassment of workers that violates Company Values or the law is dealt with appropriate disciplinary action.
•	Providing a healthy and safe work environment: We are committed to providing a work environment that is safe, sanitary, and compassionate, as well as one that respects employees'' dignity. We are committed to maintaining the highest levels of safety in our operations and protecting the safety of our personnel.
•	Collaboration: We promote the development of various committees with participation from the workforce to provide recommendations on how to enhance working conditions in the firm. We respect their points of view and give our employees access to proper grievance resolution mechanisms. 
•	Employee & worker development: We are dedicated to and ensure the ongoing upgradation of our employees'' skills and competence by giving access to relevant learning opportunities on an equitable and non-discriminatory basis.
•	Employee & Worker well-being: We are concerned about our employees and workers'' work-life balance and strive to ensure their well-being.",Reporting method to managers and supervisors for human rights violations,Open-Door,employees and workers,managers and supervisors,"Educates staff on rights and reporting methods, upholds organizational values, prevents human rights violations, ensures no child/forced labor, provides equal opportunity, prevents discrimination",managers and supervisors,Human Rights Policy (implied),Active
39,39,29,"Paramount believes in and is committed to protecting the human rights of its employees and workers. We make regular and genuine attempts to educate our staff on their rights and reporting methods in the event of a violation. Any breach of the human rights listed below may be reported to the managers and supervisors, which has been chosen by Paramount to guarantee the organization''s values are upheld and no human rights violations occur. 
•	Protection against forced and/or child labour: We ensure that no child labour, forced labour, or any type of involuntary labour, paid or unpaid, is deployed in any of our factories or offices.
•	Providing Equal Opportunity: We are dedicated to ensuring that there is no discrimination in employment or development opportunities based on religion, caste, language, region, gender (male, female, or transgender), age, sex, sexual orientation, physical ability, and other factors. We recruit, evaluate, reward, and promote only based on merit.
•	Compliance: We are fully dedicated to compliance and will follow all applicable human rights legislation. 
•	Protection against Sexual Harassment in the Workplace: We are dedicated to fostering a healthy working environment in which employees may work without fear of prejudice, intimidation, gender bias, or sexual harassment of any kind. Any discriminatory treatment or harassment of workers that violates Company Values or the law is dealt with appropriate disciplinary action.
•	Providing a healthy and safe work environment: We are committed to providing a work environment that is safe, sanitary, and compassionate, as well as one that respects employees'' dignity. We are committed to maintaining the highest levels of safety in our operations and protecting the safety of our personnel.
•	Collaboration: We promote the development of various committees with participation from the workforce to provide recommendations on how to enhance working conditions in the firm. We respect their points of view and give our employees access to proper grievance resolution mechanisms. 
•	Employee & worker development: We are dedicated to and ensure the ongoing upgradation of our employees'' skills and competence by giving access to relevant learning opportunities on an equitable and non-discriminatory basis.
•	Employee & Worker well-being: We are concerned about our employees and workers'' work-life balance and strive to ensure their well-being.",Mechanism for protection against Sexual Harassment and discriminatory treatment in the workplace,Policy,"employees, workers",Company,"Deals with discriminatory treatment or harassment of workers, takes appropriate disciplinary action",,,
