,doc_index,original_text,extraction_text,theme,goal,metric,timeline,objective_type
18,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",setting sustainability goals related to Board Governance aligned with benchmark practices,Governance,Set sustainability goals for Board Governance aligned with benchmark practices,,ongoing,
19,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",exploring possibilities of bringing the carbon footprint down for internal business operations,Climate,Reduce carbon footprint,,ongoing,
20,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",exploring possibilities of bringing the water footprint down for internal business operations,Other,Reduce water footprint,,ongoing,
21,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",zero incidents at workplace,Health & Safety,Achieve zero incidents,zero incidents,ongoing,
22,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",comprehensive materiality assessment & stakeholder engagement,Governance,Conduct comprehensive materiality assessment and stakeholder engagement,,ongoing,
23,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",aligning CSR initiatives of the Company with the UNSDGs.,CSR,Align CSR initiatives with UNSDGs,,ongoing,
24,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5 million units/annum during financial year 2024-25.,Climate,Install roof top Solar power,"1 MWp, 1.5 million units/annum",financial year 2024-25,Quantitative
25,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",To achieve the goal of Zero Waste to Landfills by December 2024.,Climate,Achieve Zero Waste to Landfills,Zero Waste,December 2024,Quantitative
26,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",To get Certified for Zero Liquid Discharge by 2025.,Climate,Get Certified for Zero Liquid Discharge,Zero Liquid Discharge certification,2025,Quantitative
27,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",STP capacity extended to 35 KLD for sewage treatment.,Other,Extend STP capacity for sewage treatment,35 KLD,ongoing,Quantitative
28,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",Horticulture waste is composted and utilised for in-house gardening.,Other,Compost and utilise horticulture waste for in-house gardening,,ongoing,Qualitative
29,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",Reducing power consumption by upgrading technology in machineries resulting in saving of 10% of electricity cost on a yearly basis.,Climate,Reduce power consumption by upgrading technology,10% of electricity cost,yearly basis,Quantitative
30,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",Set goals for a cumulative 40% renewable energy transition for a cleaner and greener environment by 2026-27.,Climate,Achieve renewable energy transition,cumulative 40%,2026-27,Quantitative
31,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",Targeted meeting 7% of the energy requirement by FY2025 by renewable energy sources.,Climate,Meet energy requirement by renewable energy sources,7% of the energy requirement,FY2025,Quantitative
32,15,"HFCL is committed to sustainable business practices and social development initiatives. We
have business specific goals and commitments as illustrated below:
At Hyderabad Plant:
The sustainable business practices and social development initiatives for Optical Fiber and
Optical Fiber Cable Plants at Hyderabad are list below:
• Planning to install 1 MWp roof top Solar power in Hyderabad facility to generate 1.5
million units/annum during financial year 2024-25. This will bring down carbon emission
up to 1,215 Metric Ton/annum and Monetary saving up to H105 Lacs.
• To achieve the goal of Zero Waste to Landfills by December 2024.
• To get Certified for Zero Liquid Discharge by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants, which employ preliminary, primary, secondary, and tertiary processes to remove
contaminants. We use the treated wastewater for gardening and in the washrooms.
We treat the generated sludge to meet the microbial requirements and dispose of it
effectively.
• STP capacity extended to 35 KLD for sewage treatment.
• Horticulture waste is composted and utilised for in-house gardening.
• Reducing power consumption by upgrading technology in machineries resulting in
saving of 10% of electricity cost on a yearly basis.

At Goa operations
As a part of our sustainability commitment, we have
• Set goals for a cumulative 40% renewable energy transition for a cleaner and greener
environment by 2026-27.
• Targeted meeting 7% of the energy requirement by FY2025 by renewable energy
sources.
• Reduce power consumption by upgrading technology in machineries resulting in saving
of 5 lakh units of electricity on a yearly basis by 2025.
• We have implemented Zero Liquid Discharge (ZLD) by establishing Sewage Treatment
Plants which employs preliminary, primary, secondary, and tertiary processes to remove
contaminants.
• Goa facility has taken several initiatives to recycle its packaging waste as an initiative to
reduce the net waste disposal.",Reduce power consumption by upgrading technology in machineries resulting in saving of 5 lakh units of electricity on a yearly basis by 2025.,Climate,Reduce power consumption by upgrading technology,5 lakh units of electricity,yearly basis by 2025,Quantitative
